DEMAND_ID,facility_id,time_min,distance_m,facility_id_foot,time_min_foot,departamento_x,facility_id_bike,time_min_bike,departamento_y,ratio_foot_car,ratio_bike_car,cambia_establecimiento_auto_vs_pie
707,308,11.946004554422483,10505.709921381154,308.0,140.076132285082,JUNIN,308.0,45.024471091633536,JUNIN,11.725772549887816,3.7689983196068013,0.0
708,27857,39.19624793496734,21456.0116523408,27857.0,301.47045318765566,JUNIN,27857.0,91.95433565288914,JUNIN,7.6913089663031515,2.345998418151035,0.0
709,4370,126.45649195956507,96233.92149996152,4370.0,1283.1189533328204,LAMBAYEQUE,4370.0,412.43109214269225,LAMBAYEQUE,10.146722666821269,3.2614465714782646,0.0
710,520,41.50335205535579,38882.341380665704,520.0,518.4312184088764,JUNIN,520.0,166.63860591713888,JUNIN,12.491309562596536,4.015063787977459,0.0
711,8653,66.06740537562614,45626.636764810944,8653.0,608.3551568641461,JUNIN,8653.0,195.54272899204682,JUNIN,9.20809820523969,2.959745851684184,0.0
712,8653,22.0487421203493,17866.88308606053,8653.0,238.22510781414036,JUNIN,8653.0,76.57235608311657,JUNIN,10.804476124480445,3.4728673257258587,0.0
713,27694,2.6256201917453343,1524.326653313036,27694.0,20.324355377507143,JUNIN,27694.0,6.532828514198726,JUNIN,7.740782707797844,2.48810872750645,0.0
714,442,224.2912920500367,195353.46539740614,442.0,2616.5108550254613,JUNIN,442.0,837.2291374174548,JUNIN,11.665681851089204,3.7327759351026386,0.0
716,520,43.494950258884295,40088.19125489214,520.0,534.5092167318953,JUNIN,520.0,171.80653394953785,JUNIN,12.288994781014061,3.9500340367545217,0.0
717,520,128.84112481795918,83911.13777431847,519.0,919.0628514916527,JUNIN,519.0,294.14106352713105,JUNIN,7.1333035379053475,2.2829749735787055,1.0
718,340,59.46314020319718,45743.60235819529,340.0,609.9146981092705,JUNIN,340.0,196.04401010655127,JUNIN,10.257021341709716,3.296899716978124,0.0
719,432,2.2082225671372457,1848.585726675,432.0,24.647809688999995,JUNIN,432.0,7.922510257178568,JUNIN,11.161832170275108,3.5877317690169983,0.0
720,4370,55.11326948600968,54034.14686716724,4370.0,733.6934815893306,LAMBAYEQUE,4370.0,231.57491514500228,LAMBAYEQUE,13.312465190902461,4.201799626563378,0.0
721,365,23.248327916869417,16544.29694887093,365.0,220.59062598494586,JUNIN,365.0,70.90412978087544,JUNIN,9.488451245772442,3.0498593289982843,0.0
723,753,65.98438714823378,74006.22736317488,8652.0,959.9603965502696,JUNIN,8652.0,311.0787878646481,JUNIN,14.548296014233197,4.714430205524382,1.0
726,11020,4.033307256232121,2179.6976812125818,11020.0,28.572398894580076,LAMBAYEQUE,11020.0,9.341561490911065,LAMBAYEQUE,7.084111643225553,2.3161046003814416,0.0
728,308,17.331064384273894,13618.792480255099,308.0,181.58389973673462,JUNIN,308.0,58.36625348680757,JUNIN,10.477365712258434,3.367724693225926,0.0
731,8653,49.19603086952533,39785.70195049578,8653.0,530.4760260066105,JUNIN,8653.0,170.5101512164105,JUNIN,10.782902942180563,3.4659330885580375,0.0
732,8656,40.829437980053186,35510.653165742566,8656.0,473.47537554323424,JUNIN,8656.0,152.1885135674682,JUNIN,11.596421576376974,3.727421220978314,0.0
733,519,43.36514707115405,33205.67790447894,519.0,452.92889307448127,JUNIN,519.0,142.31004816205257,JUNIN,10.444537230124233,3.2816687541390914,0.0
736,4370,128.863252738538,109535.63873083421,4370.0,1460.4751830777877,LAMBAYEQUE,4370.0,469.4384517035746,LAMBAYEQUE,11.333527223940827,3.6429194648381227,0.0
737,8475,193.03423992061468,156911.19211205252,8475.0,2078.2279732830516,JUNIN,8475.0,668.0018485552667,JUNIN,10.766110582960426,3.460535544522995,0.0
738,365,74.51112297055833,66767.26163875421,365.0,887.7639302950175,JUNIN,365.0,286.14540702323234,JUNIN,11.914515509929984,3.84030458293183,0.0
739,27857,12.863591834490363,8426.212579497724,27857.0,117.77917051923076,JUNIN,27857.0,36.112339626418795,JUNIN,9.156009614937927,2.807329406207758,0.0
740,25973,34.17312081658778,16340.848386141886,25383.0,244.59562855251704,JUNIN,25383.0,70.02375966211935,JUNIN,7.157544371358359,2.0490888156790614,1.0
741,8653,77.47705585017201,51827.10324601057,8653.0,691.0280432801411,JUNIN,8653.0,222.1161567686166,JUNIN,8.919131421520156,2.8668636712029048,0.0
742,340,44.98385317980473,36954.808381201605,340.0,498.8089546763083,JUNIN,340.0,158.3777502051497,JUNIN,11.088622237017393,3.5207688761587144,0.0
743,520,22.071928094284164,25423.740741162328,520.0,338.98320988216454,JUNIN,520.0,108.95888889069577,JUNIN,15.358114997209919,4.936536963388903,0.0
