DEMAND_ID,UBIGEO,DISTRITO,PROVINCIA,DEPARTAMENTO,POBLACION_CP,ES_URBANO,time_min_car,ALCANZABLE
3872,160201,YURIMAGUAS,ALTO AMAZONAS,LORETO,1234.1166666666666,False,1.7395974569552715,True
3873,140101,CHICLAYO,CHICLAYO,LAMBAYEQUE,8778.44117647059,False,1.581792378668279,True
3874,140304,JAYANCA,LAMBAYEQUE,LAMBAYEQUE,601.3000000000001,False,39.85227638302288,True
3875,120802,CHACAPALPA,YAULI,JUNIN,10.352941176470587,False,,False
3876,120209,MARISCAL CASTILLA,CONCEPCION,JUNIN,118.0,False,108.94708436857017,True
3877,160206,LAGUNAS,ALTO AMAZONAS,LORETO,520.8571428571429,False,,False
3878,120802,CHACAPALPA,YAULI,JUNIN,10.352941176470587,False,34.61244963617448,True
3879,120901,CHUPACA,CHUPACA,JUNIN,4481.4,False,12.30661456081389,True
3880,140308,OLMOS,LAMBAYEQUE,LAMBAYEQUE,437.7578947368421,False,147.64598340859717,True
3881,120504,ULCUMAYO,JUNIN,JUNIN,93.27419354838709,False,37.88096062531979,True
3882,120701,TARMA,TARMA,JUNIN,941.4285714285714,False,5.990392253198689,True
3883,160704,MORONA,DATEM DEL MARAÑON,LORETO,324.0238095238095,False,,False
3884,140310,SALAS,LAMBAYEQUE,LAMBAYEQUE,200.86153846153846,False,90.91931831781704,True
3885,120504,ULCUMAYO,JUNIN,JUNIN,93.27419354838709,False,55.19963648248161,True
3886,120128,QUILCAS,HUANCAYO,JUNIN,152.42857142857142,False,32.36394239289662,True
3887,120909,YANACANCHA,CHUPACA,JUNIN,65.68518518518518,False,117.13076949671563,True
3888,120301,CHANCHAMAYO,CHANCHAMAYO,JUNIN,654.3684210526316,False,33.778291745872075,True
3889,120903,CHONGOS BAJO,CHUPACA,JUNIN,190.76190476190476,False,35.223579500463,True
3890,140307,MOTUPE,LAMBAYEQUE,LAMBAYEQUE,749.5833333333334,False,41.71500352684571,True
3891,140304,JAYANCA,LAMBAYEQUE,LAMBAYEQUE,601.3000000000001,False,57.876937770092304,True
3892,140107,LAGUNAS,CHICLAYO,LAMBAYEQUE,549.2631578947369,False,34.559529173333544,True
3893,120305,SAN RAMON,CHANCHAMAYO,JUNIN,746.7567567567568,False,34.58205118122669,True
3894,160701,BARRANCA,DATEM DEL MARAÑON,LORETO,379.5405405405405,False,,False
3895,160706,ANDOAS,DATEM DEL MARAÑON,LORETO,221.87931034482762,False,,False
3896,120802,CHACAPALPA,YAULI,JUNIN,10.352941176470587,False,88.28895810359958,True
3897,140101,CHICLAYO,CHICLAYO,LAMBAYEQUE,8778.44117647059,False,1.8736790770259626,True
3898,140305,MOCHUMI,LAMBAYEQUE,LAMBAYEQUE,778.68,False,16.532200698975863,True
3899,140107,LAGUNAS,CHICLAYO,LAMBAYEQUE,549.2631578947369,False,47.883673572969826,True
3900,120302,PERENE,CHANCHAMAYO,JUNIN,902.7325581395348,False,43.81718409357287,True
3901,120504,ULCUMAYO,JUNIN,JUNIN,93.27419354838709,False,90.82742103794536,True
3902,120601,SATIPO,SATIPO,JUNIN,650.0597014925373,False,1.486119001150904,True
3903,160701,BARRANCA,DATEM DEL MARAÑON,LORETO,379.5405405405405,False,,False
3904,160505,MAQUIA,REQUENA,LORETO,340.32000000000005,False,,False
3905,160507,SAQUENA,REQUENA,LORETO,558.3333333333333,False,,False
3906,120704,HUASAHUASI,TARMA,JUNIN,296.11538461538464,False,55.078191162501504,True
3907,140202,CAÑARIS,FERREÑAFE,LAMBAYEQUE,528.1071428571429,False,194.0372567877043,True
3908,160706,ANDOAS,DATEM DEL MARAÑON,LORETO,221.87931034482762,False,,False
3909,140307,MOTUPE,LAMBAYEQUE,LAMBAYEQUE,749.5833333333334,False,58.5552431164566,True
3910,120416,MASMA,JAUJA,JUNIN,344.16666666666663,False,12.814152931777853,True
3911,160601,CONTAMANA,UCAYALI,LORETO,638.5909090909091,False,,False
3912,120503,ONDORES,JUNIN,JUNIN,23.740259740259738,False,49.354880327145864,True
3913,120419,MONOBAMBA,JAUJA,JUNIN,95.9090909090909,False,62.026117380246625,True
3914,160706,ANDOAS,DATEM DEL MARAÑON,LORETO,221.87931034482762,False,,False
3915,120806,PACCHA,YAULI,JUNIN,58.89285714285714,False,33.985433026308876,True
3916,120606,PANGOA,SATIPO,JUNIN,618.2346938775511,False,138.98563840499972,True
3917,160506,PUINAHUA,REQUENA,LORETO,617.0,False,,False
3918,140304,JAYANCA,LAMBAYEQUE,LAMBAYEQUE,601.3000000000001,False,32.73061382850153,True
3919,160501,REQUENA,REQUENA,LORETO,1107.2857142857142,False,,False
3920,120305,SAN RAMON,CHANCHAMAYO,JUNIN,746.7567567567568,False,14.434797002381748,True
3921,160606,VARGAS GUERRA,UCAYALI,LORETO,829.5454545454545,False,,False
3922,140205,PITIPO,FERREÑAFE,LAMBAYEQUE,691.8285714285714,False,35.42210408985349,True
3923,120306,VITOC,CHANCHAMAYO,JUNIN,96.33333333333333,False,45.62271688655659,True
3924,160103,FERNANDO LORES,MAYNAS,LORETO,349.93220338983053,False,,False
3925,120707,PALCAMAYO,TARMA,JUNIN,382.92,False,42.07213690478098,True
3926,160403,YAVARI,MARISCAL RAMON CASTILLA,LORETO,362.55555555555554,False,,False
3927,140113,REQUE,CHICLAYO,LAMBAYEQUE,1398.7272727272727,False,18.792858665718924,True
3928,160202,BALSAPUERTO,ALTO AMAZONAS,LORETO,311.0689655172414,False,,False
3929,120301,CHANCHAMAYO,CHANCHAMAYO,JUNIN,654.3684210526316,False,15.500144741409166,True
3930,120108,CHONGOS ALTO,HUANCAYO,JUNIN,33.475,False,,False
3931,160803,TENIENTE MANUEL CLAVERO,PUTUMAYO,LORETO,237.04000000000002,False,,False
3932,120504,ULCUMAYO,JUNIN,JUNIN,93.27419354838709,False,58.60815038131404,True
